iter	Passed	Remaining
0	2	247
1	4	221
2	6	208
3	7	191
4	9	180
5	10	171
6	12	167
7	14	169
8	16	162
9	17	156
10	21	174
11	23	168
12	24	166
13	26	162
14	28	159
15	29	155
16	32	160
17	34	156
18	35	152
19	39	157
20	41	156
21	44	159
22	46	156
23	48	152
24	50	150
25	51	147
26	53	143
27	54	140
28	56	137
29	57	134
30	59	131
31	60	128
32	62	125
33	63	123
34	65	121
35	66	118
36	68	116
37	69	113
38	71	111
39	72	108
40	74	106
41	75	103
42	76	101
43	77	98
44	79	97
45	81	95
46	82	93
47	84	91
48	85	89
49	87	87
50	89	85
51	90	83
52	92	82
53	94	80
54	95	77
55	96	75
56	97	73
57	99	72
58	101	70
59	103	68
60	105	67
61	106	65
62	109	64
63	111	62
64	112	60
65	114	58
66	116	57
67	117	55
68	118	53
69	120	51
70	122	49
71	123	48
72	124	46
73	127	44
74	128	42
75	130	41
76	131	39
77	133	37
78	134	35
79	136	34
80	137	32
81	139	30
82	140	28
83	142	27
84	143	25
85	145	23
86	146	21
87	148	20
88	149	18
89	151	16
90	152	15
91	153	13
92	154	11
93	156	10
94	159	8
95	160	6
96	161	4
97	162	3
98	165	1
99	166	0
