iter	Passed	Remaining
0	223	223563
1	226	112835
2	228	75816
3	229	57222
4	231	46081
5	233	38677
6	235	33364
7	237	29395
8	238	26284
9	240	23858
10	242	21824
11	244	20165
12	246	18719
13	248	17485
14	250	16417
15	251	15480
16	253	14656
17	255	13916
18	256	13263
19	258	12666
20	259	12117
21	261	11625
22	263	11174
23	264	10759
24	266	10383
25	267	10036
26	269	9717
27	271	9408
28	272	9124
29	273	8855
30	275	8607
31	276	8373
32	278	8149
33	279	7941
34	280	7743
35	282	7556
36	283	7384
37	285	7218
38	286	7060
39	288	6913
40	289	6770
41	290	6635
42	292	6509
43	294	6396
44	295	6280
45	297	6165
46	298	6062
47	300	5966
48	302	5877
49	304	5785
50	306	5700
51	307	5613
52	309	5530
53	311	5449
54	312	5373
55	314	5305
56	316	5229
57	317	5159
58	319	5089
59	320	5021
60	321	4955
61	323	4892
62	325	4840
63	327	4783
64	328	4727
65	330	4672
66	331	4618
67	333	4565
68	334	4514
69	336	4464
70	337	4415
71	338	4366
72	340	4322
73	342	4280
74	343	4237
75	345	4196
76	346	4158
77	348	4118
78	349	4078
79	351	4040
80	352	4001
81	354	3965
82	355	3922
83	356	3887
84	357	3851
85	359	3816
86	360	3782
87	361	3749
88	363	3716
89	364	3684
90	365	3653
91	367	3625
92	368	3596
93	370	3568
94	371	3538
95	372	3511
96	374	3483
97	375	3456
98	376	3429
99	378	3402
100	379	3377
101	380	3352
102	382	3327
103	383	3304
104	384	3280
105	386	3257
106	387	3236
107	389	3213
108	390	3191
109	391	3170
110	393	3148
111	394	3126
112	395	3106
113	397	3087
114	399	3076
115	403	3072
116	404	3053
117	406	3035
118	407	3017
119	408	2999
120	410	2985
121	412	2967
122	413	2950
123	416	2941
124	417	2925
125	419	2910
126	422	2903
127	423	2888
128	425	2871
129	427	2860
130	429	2845
131	430	2829
132	431	2813
133	433	2798
134	434	2786
135	436	2770
136	437	2754
137	438	2739
138	440	2727
139	441	2713
140	442	2698
141	443	2681
142	445	2668
143	446	2656
144	448	2643
145	449	2630
146	451	2617
147	452	2605
148	453	2592
149	455	2579
150	456	2566
151	457	2554
152	459	2543
153	460	2530
154	461	2518
155	463	2507
156	465	2497
157	466	2485
158	467	2474
159	469	2464
160	470	2451
161	472	2441
162	473	2431
163	474	2420
164	476	2411
165	477	2400
166	479	2390
167	480	2381
168	482	2373
169	484	2364
170	485	2354
171	487	2348
172	489	2340
173	491	2331
174	492	2321
175	494	2312
176	495	2304
